"Organism","Limb_width","Limb_length","Observer"
"species2",2.42680098338375,12.8686123514741,"Elle"
"species5",2.8475457950158,6.12244758458035,"Ryan"
"species3",1.56010506339267,11.3823854257399,"Claire"
"species2",1.78480229081906,7.21116610340393,"Ryan"
"species2",1.84777695904218,12.0274777857139,"Claire"
"species5",1.56145989514806,7.36399387009192,"Claire"
"species5",2.37335805383418,15.3025389740491,"Ryan"
"species3",1.75555607157734,7.35420223852438,"Claire"
"species3",2.13103521171456,2.19329624305788,"Elle"
"species3",2.77239441333397,7.64385824303371,"Elle"
"species2",2.54940743640885,1.40831843883933,"Claire"
"species1",2.05774339194442,8.60908942938929,"Ryan"
"species1",2.36027235849914,0.75535441286333,"Ryan"
"species5",1.22946584762161,12.3727517270104,"Claire"
"species4",2.55088228587902,8.1169534273075,"Elle"
"species1",1.13625433320637,6.83363327932828,"Claire"
"species4",1.81302202808518,16.8326188782919,"Elle"
"species1",1.33697352437926,11.5694413134307,"Claire"
"species5",1.74095277407746,14.0324959321444,"Elle"
"species1",2.17638630289421,8.18714987673708,"Ryan"
"species1",1.86450392563333,6.37011537792676,"Ryan"
"species3",1.91142193731923,6.85769647813316,"Ryan"
"species3",1.55881322513184,10.4521509017896,"Claire"
"species3",2.76678010604535,19.3354101762204,"Elle"
"species5",1.11092650007039,8.55000990717352,"Elle"
"species3",2.47806793318227,13.8708171959544,"Elle"
"species4",2.20591239354414,8.10173601166177,"Elle"
"species3",0.401025006572098,8.46454875737716,"Ryan"
"species3",2.22008821293906,13.2092393310238,"Elle"
"species5",2.51470384922939,6.94058990497544,"Claire"
"species2",1.9522193261027,7.74157664541706,"Ryan"
"species4",1.16522506348394,12.7188333579687,"Elle"
"species2",2.5970778360993,8.31821291336862,"Claire"
"species5",1.95655014791704,5.83790452317135,"Ryan"
"species2",2.02547126123115,14.4370952174239,"Elle"
"species3",2.97026493864764,6.48129510718551,"Elle"
"species1",2.27223529494529,10.4050283716174,"Claire"
"species1",2.52940273194076,15.6917014572058,"Ryan"
"species4",1.47110285038003,5.36258612265364,"Claire"
"species2",2.54058541564928,15.1829891512655,"Elle"
"species1",1.79731394531681,10.2133903895025,"Elle"
"species4",2.53896425743402,19.349140350974,"Claire"
"species1",2.12090722150131,10.2816988480655,"Elle"
"species4",2.02991747152073,9.49870853185285,"Elle"
"species5",2.30363093943994,13.8945227417818,"Ryan"
"species2",2.45538251937507,5.11736486804673,"Ryan"
"species2",1.55207645531192,8.63934380441046,"Claire"
"species3",1.81053778709767,6.16830456730426,"Claire"
"species5",2.0028131137997,14.5076403786865,"Claire"
"species5",1.73258329398473,13.2761776160419,"Ryan"
"species3",1.87137947966663,1.33854194478087,"Ryan"
"species5",2.46683269747705,19.0019786602998,"Claire"
"species3",1.21479300043614,23.2880332700239,"Elle"
"species4",2.36040155312214,18.3971903149552,"Ryan"
"species2",1.92818801684799,9.47783481642039,"Ryan"
"species3",1.31370698938718,18.6751283649608,"Ryan"
"species5",1.17313904971627,13.675694405197,"Ryan"
"species3",2.05569414859675,5.84374423152719,"Elle"
"species2",2.17180957576911,10.3963804865421,"Elle"
"species1",2.21834502737185,5.11103304988669,"Claire"
"species3",1.06940683820126,0.2,"Claire"
"species3",2.00639826506072,11.2649012312409,"Ryan"
"species1",2.2859242609626,10.406514207478,"Elle"
"species1",2.5395214731288,16.264568601536,"Ryan"
"species2",1.59864263573374,15.209176746143,"Claire"
"species2",2.11729214248374,14.3383673736932,"Claire"
"species2",2.00721897218944,8.26122508302262,"Claire"
"species4",2.44402107628717,1.59822719759376,"Ryan"
"species5",0.807840872739583,16.8510342050404,"Elle"
"species5",1.24709959817797,4.82724041629309,"Elle"
"species2",2.054176482706,6.87538992448358,"Elle"
"species3",1.63083300387977,14.1197383479711,"Claire"
"species1",1.93372429784298,8.62358388388643,"Ryan"
"species1",2.10182874146026,7.15908921384403,"Ryan"
"species2",2.22124998988816,3.08217323837838,"Ryan"
"species2",2.44860669455491,9.57816073967389,"Claire"
"species3",0.804053526261843,0.2,"Elle"
"species2",3.24370700381009,12.1126515345642,"Claire"
"species1",2.02591541701367,16.7217070637151,"Claire"
"species2",1.79925664826182,6.87698788613626,"Ryan"
"species5",1.67816154758866,9.62503753327883,"Ryan"
"species1",2.89370944623341,8.01914744631637,"Elle"
"species2",1.65765700148775,9.81085857527308,"Claire"
"species4",2.14499283211101,12.5127083176801,"Claire"
"species2",2.78892245592458,14.2206614477791,"Ryan"
"species1",1.29748006392333,5.44620721344725,"Elle"
"species2",1.42101786434337,12.8608730463222,"Claire"
"species1",2.70911060475919,4.93489145782274,"Ryan"
"species4",2.43108430998071,3.85362788975979,"Elle"
"species5",2.28900156411689,0.354613940423857,"Elle"
"species1",2.91249002325518,1.95808179815479,"Claire"
"species3",1.42910513137606,13.3485445609979,"Ryan"
"species3",1.65827878018233,12.2804648293066,"Elle"
"species5",2.4999886682728,7.3881673097577,"Claire"
"species2",2.86647982433286,13.7067718983728,"Elle"
"species1",2.02084431740014,3.48405207994039,"Claire"
"species4",2.11433983263449,8.8637902024416,"Ryan"
"species2",2.66587428598721,15.6007913715853,"Claire"
"species3",2.06354085729106,13.621449758652,"Elle"
"species1",1.61415260541289,4.65710130851545,"Claire"
